        [,1] [,2] [,3] [,4]  [,5] [,6] [,7] [,8]  [,9] [,10]
[190,] 1.380  947 1.26  773 1.049  945 1.35  694 1.126  1242
[191,] 1.311 1005 1.16  777 1.030  840 1.19 1011 1.125  1032
[192,] 1.360  977 1.14  799 0.985  906 1.14 1046 1.068  1209
[193,] 1.504  895 1.14  881 1.038  871 1.06 1058 1.264   984
[194,] 1.430  909 1.23  740 1.103  761 1.05 1053 1.157  1330
[195,] 1.216 1100 1.16  744 1.128  744 1.23  975 1.244  1190
[196,] 1.511  735 1.21  930 1.027  950 1.27  704 1.115  1238
[197,] 1.245 1164 1.26  721 1.023  849 1.19  943 1.202  1205
[198,] 1.399  992 1.20  824 1.057  791 1.31  800 1.184  1276
[199,] 1.446  814 1.22  819 1.051  866 1.36  790 1.004  1460
[200,] 1.473  872 1.13  908 1.051  838 1.50  763 0.937  1508
